"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\ALL\PhysicalDisk(_Total)\Avg. Disk sec/Read","\\ALL\PhysicalDisk(_Total)\Avg. Disk sec/Write","\\ALL\PhysicalDisk(_Total)\Avg. Disk Queue Length","\\ALL\Processor(_Total)\% Processor Time","\\ALL\Memory\% Committed Bytes In Use","\\ALL\Memory\Available MBytes"
"02/27/2025 04:27:50.088","0","0.00095211134751773047","0.053614391779033675","18.878138470035498","18.65311377184771","25026"
"02/27/2025 04:27:55.088","0","0.00095686975806451616","0.047457008929957925","18.170495435648849","18.65135834520947","25026"
"02/27/2025 04:28:00.087","0","0.00095000826771653537","0.048270257478474111","18.030170548757841","18.653902136407304","25025"
"02/27/2025 04:28:05.089","0","0.0009468782006920415","0.054705711592088542","17.965448142536744","18.654185956961985","25027"
"02/27/2025 04:28:10.074","0","0.00095511672862453527","0.051545098671135776","19.045872871590742","18.630135529355645","25034"
"02/27/2025 04:28:15.079","0","0.00096157890625","0.049181909182127358","19.809603966516431","18.62573118848394","25035"
"02/27/2025 04:28:20.089","0","0.00094402929292929289","0.055968217950207663","18.632298153979242","18.624753625743267","25036"
"02/27/2025 04:28:25.076","0","0.00095275860805860797","0.052153155771699503","18.582158467670716","18.623176896624074","25036"
"02/27/2025 04:28:30.076","0","0.0009537988847583644","0.051310630219143588","18.638757879574165","18.626414453290966","25035"
"02/27/2025 04:28:35.076","0.00084449999999999998","0.00095418499999999997","0.049784993592096469","17.893141396284797","18.623092798195568","25035"
"02/27/2025 04:28:40.077","0","0.00094571068965517238","0.054849102824630971","19.378112004876613","18.62299819910503","25035"
"02/27/2025 04:28:45.077","0","0.00095123134328358209","0.050983548710977974","18.59766382432333","18.54685256689481","25130"
"02/27/2025 04:28:50.077","0","0.00095348262548262551","0.049385525648618478","18.05496397505566","18.543741157870681","25130"
"02/27/2025 04:28:55.077","0","0.00094611955128205119","0.059035892924047768","18.362094175022094","18.543478361923128","25131"
"02/27/2025 04:29:00.078","0","0.00094971490909090915","0.052229839724348442","18.678851728098767","18.546631820161508","25130"
"02/27/2025 04:29:05.087","0","0.00095309241877256307","0.052703018330210488","18.277428939541963","18.551267408428544","25131"
"02/27/2025 04:29:10.088","0","0.00094286720779220782","0.058074048340689764","18.212379087182494","18.554452415219146","25130"
"02/27/2025 04:29:15.088","0","0.00095300540540540547","0.049359132017546554","18.799836013754412","18.551519703714064","25135"
"02/27/2025 04:29:20.085","0","0.00096180078431372558","0.049081590315153627","20.146909847935223","18.607682878758684","25117"
"02/27/2025 04:29:25.086","0.00046233333333333331","0.00096216981132075474","0.061464294727529498","18.720333929397761","18.600724222744052","25118"
"02/27/2025 04:29:30.092","0.00049819999999999997","0.00093057632508833929","0.052704128967137193","18.695767299023881","18.605023463863184","25117"
"02/27/2025 04:29:35.078","0.00060919999999999995","0.00095708624535315999","0.051755562027149503","18.721554063906854","18.601575661125029","25117"
"02/27/2025 04:29:40.083","0","0.00094352097902097908","0.053915429576685145","17.93371199561815","18.604014352570292","25116"
"02/27/2025 04:29:45.084","0","0.00094399542483660144","0.057765387129997188","17.549243019471959","18.602721420722716","25116"
"02/27/2025 04:29:50.098","0","0.00095839999999999999","0.053716727905959265","19.086132833166737","18.602027655253657","25116"
"02/27/2025 04:29:55.082","0","0.00094585272727272724","0.052186970518969734","17.86520270807781","18.604003828625196","25117"
"02/27/2025 04:30:00.082","0","0.00094157406143344712","0.055170780299581557","18.523688895746883","18.603804106499023","25116"
"02/27/2025 04:30:05.094","0","0.00096437481203007528","0.051187464400312445","18.039342063398543","18.589792218662286","25120"
"02/27/2025 04:30:10.078","0","0.00094269343629343626","0.048982345458488868","19.596172141334158","18.582192370337943","25121"
"02/27/2025 04:30:15.079","0","0.00094986267605633797","0.053946648889829238","18.2896579941924","18.58262336314251","25121"
"02/27/2025 04:30:20.082","0","0.00095600999999999998","0.053500267558499015","17.477853723148364","18.581425030385475","25121"
"02/27/2025 04:30:25.086","0","0.00094418181818181819","0.051887652411360993","18.855289444073108","18.580542066735344","25122"
"02/27/2025 04:30:30.087","0","0.0009575274261603375","0.045381122821535023","18.135241281315707","18.586386488421443","25122"
"02/27/2025 04:30:35.087","0","0.0009497214285714285","0.053179995632761698","17.780245440072651","18.577399109158989","25122"
"02/27/2025 04:30:40.094","0","0.00095170988593155903","0.049992687836614674","19.093215043395027","18.578145447787399","25123"
"02/27/2025 04:30:45.086","0.001804","0.00095402999999999992","0.05196763908212898","18.923305910052502","18.579322732654244","25123"
"02/27/2025 04:30:50.100","0","0.00095347550335570463","0.0566582463004381","19.34199705414137","18.577630379837387","25123"
"02/27/2025 04:30:55.091","0","0.0009455953571428572","0.053057507805073699","17.768242390284851","18.577819578018463","25124"
"02/27/2025 04:31:00.091","0","0.00096561156716417913","0.051753887992738966","18.207694554028318","18.579837800604253","25125"
"02/27/2025 04:31:05.096","0","0.0019791036206896553","0.22933951591760512","18.872725690359072","18.577966750268352","25124"
"02/27/2025 04:31:10.086","0","0.001155797572815534","0.095427620965721785","17.726900532058799","18.575801355432674","25124"
"02/27/2025 04:31:15.087","0","0.00095893745318352053","0.051202867817998571","18.327317882672023","18.579017887492437","25124"
"02/27/2025 04:31:20.097","0","0.00095600522648083626","0.054754402387777956","18.850165432538102","18.576379497204066","25124"
"02/27/2025 04:31:25.082","0","0.00095068345864661647","0.050732632743291817","17.676104056848395","18.579543479387542","25124"
"02/27/2025 04:31:30.087","0","0.00095074426229508203","0.046351075787901916","18.243865797717529","18.579606529925858","25124"
"02/27/2025 04:31:35.092","0.0012149000000000001","0.00095806498194945849","0.05326694451773286","17.542727368722964","18.580773314130671","25125"
"02/27/2025 04:31:40.076","0","0.00094792101167315171","0.048876417422565516","18.768692996611236","18.583958320921276","25125"
"02/27/2025 04:31:45.094","0","0.00095751501976284591","0.048278926779067907","17.986365625939349","18.581193782990148","25124"
"02/27/2025 04:31:50.078","0","0.0009607271698113208","0.05107741322920465","19.162622186553946","18.579396307137657","25124"
"02/27/2025 04:31:55.093","0","0.00094350035335689041","0.05324997311182543","17.384488691221666","18.58104663402332","25124"
"02/27/2025 04:32:00.084","0","0.00094449105058365759","0.048629079554178847","18.221072749390864","18.583600925883186","25125"
"02/27/2025 04:32:05.085","0","0.00096057462686567163","0.051483431953881574","19.770874589384356","18.58098356020194","25125"
"02/27/2025 04:32:10.087","0","0.0009458276816608996","0.054648278038905082","18.663415703207509","18.585429927004835","25124"
"02/27/2025 04:32:15.087","0","0.0009558427509293681","0.051423049281463032","18.791100343381384","18.58662825976187","25125"
"02/27/2025 04:32:20.096","0","0.00095724372469635618","0.047200650957551209","19.484665925103151","18.58505153064268","25124"
"02/27/2025 04:32:25.090","0","0.0009509500000000001","0.050268650591081758","17.755866015460953","18.585755796773768","25124"
"02/27/2025 04:32:30.093","0","0.00094857374100719416","0.052709711960338516","18.212145079907526","18.586481087511984","25124"
"02/27/2025 04:32:35.083","0.00061309999999999999","0.00095696679389312969","0.050367745600183887","18.862241615417354","18.587248427464452","25125"
"02/27/2025 04:32:40.087","0","0.00095557248062015502","0.049271232029117741","17.716884427865111","18.588404711007232","25124"
"02/27/2025 04:32:45.099","0","0.00094954503546099296","0.053422907893542149","18.248003895855337","18.593586892493438","25124"
